SOX,33.4904,-117.3809
SRX,35.1726,-94.2142
TBW,27.422,-82.2406
TFX,47.2735,-111.2307
TLH,30.2351,-84.1944
TLX,35.1959,-97.164
TWX,38.5949,-96.1357
TYX,43.4521,-75.4048
UDX,44.073,-102.4947
UEX,40.1915,-98.2631
VAX,30.5325,-83.0006
VBX,34.5017,-120.2349
VNX,36.4427,-98.074
VTX,34.2442,-119.1046
YUX,32.2943,-114.3924
VWX,38.1537,-87.4328
KKEY,24.3313,-81.4513
KEY,24.33,-81.46
KLBX,29.0655,-95.2747
YOC,67.34,-139.43
YDB,61.22,-139.03
AMAA2,58.5454,-151.5706
FILA2,59.1954,-151.5942
SGOF1,29.2424,-84.5148
LSCM4,42.2755,-82.4514
THIN6,44.1805,-75.5855
KTWC,32.134,-110.5722
KTUS,32.0753,-110.5719
KFHU,31.35,-110.21
MLRF1,25.0036,-80.2248
LONF1,24.5036,-80.5142
PLSF1,24.4136,-82.4624
BUZM3,41.2348,-71.02
SJU,18.2826,-66.1044
IAD,39.0502,-77.3144
ATL,33.3849,-84.1543
SDF,38.0246,-85.3636
IDS,39.3813,-86.261
CLT,35.2013,-80.5306
TUL,36.0416,-95.4937
ADW,38.4142,-76.5042
BNA,35.5848,-86.3943
BOS,42.0929,-70.5559
BWI,39.0524,-76.3748
CMH,40.0022,-82.4254
CVG,38.5353,-84.3448
DAL,32.5534,-96.5805
DAY,40.0119,-84.0723
DCA,38.4532,-76.5743
DEN,39.4341,-104.3134
DFW,33.0354,-96.5505
DTW,42.064,-83.3054
EWR,40.3535,-74.1612
FLL,26.0835,-80.2038
HOU,29.3058,-95.1431
IAH,30.0354,-95.3401
ICH,37.3025,-97.2613
JFK,40.352,-73.5252
LAS,36.0838,-115.0025
LVE,41.1724,-82.0029
MCO,28.2038,-81.1934
MEM,34.5346,-89.5935
MIA,25.4529,-80.2928
MKE,42.4908,-88.0246
MSP,44.5216,-92.5559
MSY,30.0119,-90.2411
OKC,35.1634,-97.3036
ORD,41.4749,-87.5129
PBI,26.4117,-80.1623
PHL,39.5656,-75.0408
PHX,33.2516,-112.0947
PIT,40.3004,-80.291
RDU,36.0007,-78.4149
SLC,40.5801,-111.5548
STL,38.4818,-90.292
TPA,27.5136,-82.3105
MDW,41.4612,-87.45
MCI,39.2956,-94.4431
KECP,30.213,-85.4744
KPSO,37.1711,-107.0322
KC29,43.0651,-89.3154
KXIH,29.1048,-94.3116
VOA,29.1344,-87.4652
KVOA,29.1344,-87.4652
KVZA,28.0336,-92.1616
KVEF,36.025,-115.1105
UACK,53.1945,69.3541
USCM,53.23,58.45
UWOR,51.04,58.35
ASN,33.3412,-86.0304
KASN,33.3412,-86.0304
KDXZ,37.021,-113.3036
KBDN,44.0542,-121.12
BDN,44.0542,-121.12
KCSM,35.2105,-99.115
CSM,35.2105,-99.115
KF30,34.31,-96.59
KLMN,36.37,-97.29
SJS,37.4504,-82.3812
KQSA,34.5646,69.1554
C80,36.0944,-120.1741
KC80,36.0944,-120.1741
4A6,34.4119,-86.0021
K4A6,34.4119,-86.0021
AAO,37.4459,-97.1308
TTF,41.5624,-83.2605
IYS,61.3419,-149.3226
DMW,39.36,-77.0
KDMW,39.36,-77.0
KCGS,38.585,-76.552
MMB,36.18,-99.46
KMMB,36.18,-99.46
LMO,40.0952,-105.0949
KLMO,40.0952,-105.0949
6M7,34.4658,-90.4836
K6M7,34.4658,-90.4836
4BK,42.03,-124.17
POV,41.13,-81.15
KPOV,41.13,-81.15
1G3,41.0905,-81.2454
K1G3,41.0905,-81.2454
RPD,45.2505,-91.4625
9V9,43.46,-99.1906
40J,30.0419,-83.3425
VBS,29.2842,-93.3818
SMQ,40.3726,-74.401
1A6,36.3638,-83.4414
KOVR,41.1012,-95.4424
2W5,38.3602,-77.0423
K2W5,38.3602,-77.0423
39N,40.2357,-74.3932
K39N,40.2357,-74.3932
KHUH,48.57,-122.3448
KL35,34.16,-116.51
OKV,39.09,-78.09
TNB,36.12,-81.39
PAN,34.15,-111.2
KPAN,34.15,-111.2
12N,41.01,-74.44
DIALO,28.4206,-139.2536
6AK,62.0503,-152.4303
XSA,37.52,-76.54
KXSA,37.52,-76.54
9A4,34.4,-87.21
K9A4,34.4,-87.21
SGS,44.5126,-93.0158
BARAZ,34.0123,-134.2046
BEKME,27.5332,-147.5812
JAKSN,47.5311,-121.4213
KDSD,44.15,-121.18
IPJ,35.2859,-81.0941
CPT,32.2113,-97.2601
E45,37.5142,-120.1043
KEIC,32.4612,-93.4836
